"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Images: Attribut Alt manquant","Problème","Faible","9","7,500","Images auxquelles il manque un attribut alt. Cliquez sur l'adresse (URL) de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour afficher les pages où l'image apparaît et où il manque des attributs alt. Toutes les images doivent contenir un attribut alt avec un texte descriptif, ou vide s'il s'agit d'une image décorative.","Incluez des attributs alt avec un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"Title des pages: Moins de 30 caractères","Opportunité","Moyenne","40","14,390","Pages dont le titre est inférieur à la limite configurée. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
"Codes de réponse: Externes, pas de réponse","Avertissement","Faible","2","0,400","URL externes pour lesquelles aucune réponse n'a été renvoyée par le serveur. Cela est généralement dû à une URL malformée, un dépassement de délai de connexion, une erreur de connexion ou un refus de connexion. Affichez les URL qui renvoient à une absence de réponse en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Pas de réponse.","Les URL malformées doivent être mises à jour avec le bon emplacement et les autres problèmes de connexion peuvent souvent être résolus en utilisant différents agents utilisateurs (Configuration > User-Agent), en ajustant la vitesse de crawl (Configuration > Vitesse) ou en désactivant les pare-feu et les proxies. Si elles peuvent être visualisées dans un navigateur, ce n'est souvent pas un problème.",""
"Pagination: Erreur de séquence","Problème","Faible","1","0,360","URL qui présentent une erreur dans la séquence des éléments de lien HTML rel=""next"" et rel=""prev"". Cette vérification permet de s'assurer que les URL contenues dans les éléments de lien HTML rel=""next"" et rel=""prev » renvoient l'une vers l'autre et confirment leur relation dans la série.","Assurez-vous que les URL paginées contenues dans les attributs rel=""next"" ou rel=""prev"" et dans les balises <a> renvoient aux bonnes pages de la séquence.",""
"Meta description: Doublon","Opportunité","Faible","55","19,780","Pages comportant des doublons de méta-descriptions. Il est très important d'avoir des méta-descriptions distinctes et uniques qui communiquent les avantages et l'objectif de chaque page. Si elles sont en double ou non pertinentes, elles seront ignorées par les moteurs de recherche dans leurs extraits.","Mettez à jour les doublons de méta-description si nécessaire, afin que les pages importantes contiennent un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Meta description: Plus de 985 pixels","Opportunité","Faible","2","0,720","Pages dont la méta-description dépasse la limite de longueur en pixels estimée par Google pour les extraits. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des méta-descriptions concises afin que des mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Images: Texte Alt manquant","Problème","Faible","5","4,170","Images qui disposent d'un attribut alt, mais sans texte alt. Cliquez sur l'adresse de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour voir quelles pages contiennent l'image, mais pas le texte alt. Les images doivent être accompagnées d'un texte alternatif descriptif de leur fonction, ce qui permet aux aveugles et aux malvoyants, ainsi qu'aux moteurs de recherche, de comprendre l'image et sa pertinence pour la page Web.","Incluez un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"Versions canoniques: Canonisé","Avertissement","Élevée","4","1,440","Pages qui ont une version canonique avec une URL différente. L'URL est « canonisée » vers un autre emplacement. Cela signifie qu'il est demandé aux moteurs de recherche de ne pas indexer la page, et que les propriétés d'indexation et de liaison doivent être consolidées vers l'URL de la version canonique.","Ces URL doivent être examinées attentivement pour s'assurer que les signaux d'indexation et de liaison sont consolidés vers la bonne URL. Dans un monde idéal, un site Web n'aurait pas besoin de canoniser des URL, car seules des versions canoniques seraient liées en interne sur un site Web, mais elles sont souvent nécessaires en raison de diverses circonstances indépendantes de notre volonté, et pour éviter les doublons de contenu. Mettez à jour les liens internes vers les versions canoniques des URL lorsque cela est possible.",""
"H2: Manquant","Avertissement","Faible","6","2,160","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Title des pages: Moins de 200 pixels","Opportunité","Moyenne","23","8,270","Pages dont le titre est beaucoup plus court que la limite de longueur en pixels estimée par Google. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
