"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Title des pages: Doublon","Opportunité","Moyenne","20","12,900","Pages dont les titres sont dupliqués. Il est très important de disposer de titres de page distincts et uniques pour chaque page. Si toutes les pages ont le même titre, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de titre de page si nécessaire, afin que chaque page contienne un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Contenu: Lisibilité difficile","Opportunité","Faible","33","18,230","Le contenu de la page est difficile à lire et plus adapté aux lycéens diplômés selon la formule du score de lisibilité de Flesch. Il contient des phrases longues avec des mots complexes qui sont généralement plus difficiles à lire et à comprendre.","Pensez à améliorer la lisibilité du contenu pour votre audience cible. Un contenu avec des phrases plus courtes et des mots moins complexes est souvent plus facile à lire et à comprendre.",""
"H2: Manquant","Avertissement","Faible","92","59,350","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Codes de réponse: Externes, pas de réponse","Avertissement","Faible","6","1,200","URL externes pour lesquelles aucune réponse n'a été renvoyée par le serveur. Cela est généralement dû à une URL malformée, un dépassement de délai de connexion, une erreur de connexion ou un refus de connexion. Affichez les URL qui renvoient à une absence de réponse en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Pas de réponse.","Les URL malformées doivent être mises à jour avec le bon emplacement et les autres problèmes de connexion peuvent souvent être résolus en utilisant différents agents utilisateurs (Configuration > User-Agent), en ajustant la vitesse de crawl (Configuration > Vitesse) ou en désactivant les pare-feu et les proxies. Si elles peuvent être visualisées dans un navigateur, ce n'est souvent pas un problème.",""
"Hreflang: X-Default manquant","Avertissement","Faible","95","61,290","URL sans attribut hreflang x-default. Celui-ci est facultatif et ne constitue pas nécessairement un problème.","Envisagez d'ajouter une page de repli pour les langues sans correspondance, en particulier sur les sélecteurs de langue/pays ou les pages d'accueil à redirection automatique.",""
"H1: Doublon","Opportunité","Faible","16","10,320","Pages qui présentent des doublons de <h1>. Il est important de disposer de sous-titres principaux distincts, uniques et utiles. Si chaque page a le même <h1>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h1> comme nécessaire, afin que les pages importantes contiennent un <h1> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"H1: Plus de 70 caractères","Opportunité","Faible","54","34,840","Pages dont les <h1> dépassent la longueur configurée. Il n'y a pas de limite de caractères stricte pour les <h1>, mais ils doivent être clairs et concis pour les utilisateurs et les sous-titres longs peuvent être moins utiles.","Rédigez des <h1> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Codes de réponse: Externes, erreur de serveur (5xx)","Avertissement","Faible","1","0,200","URL externes où le serveur n'a pas réussi à satisfaire une requête apparemment valide. Il peut s'agir de réponses courantes telles que 500 Internal Server Errors et 503 Service Unavailable. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Erreur de serveur (5xx).","Toutes les URL doivent répondre par un statut 200 « OK » et cela peut indiquer un serveur qui a du mal à supporter la charge ou une mauvaise configuration qui nécessite une investigation. Si elles peuvent être visualisées dans un navigateur, ce n'est souvent pas un problème.",""
"Codes de réponse: Internes, erreur du client (4xx)","Problème","Élevée","3","0,600","URL internes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que 404 ou 410 doivent être mises à jour à leur emplacement correct, supprimées et redirigées le cas échéant. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent et en recommençant le crawl.",""
"Sécurité: En-tête X-Frame-Options manquant","Avertissement","Faible","194","54,040","URL qui n'ont pas l'en-tête de réponse X-Frame-Options avec une valeur « DENY » ou « SAMEORIGIN ». Cela indique au navigateur de ne pas rendre une page dans un cadre, une iframe, une incorporation ou un objet. Cela permet d'éviter les attaques de type « détournement de clic », où votre contenu est affiché sur une autre page Web contrôlée par un attaquant.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Frame-Options doit être fourni avec une valeur « DENY » ou « SAMEORIGIN ».",""
