"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Codes de réponse: Internes, erreur du client (4xx)","Problème","Élevée","84","16,800","URL internes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que 404 ou 410 doivent être mises à jour à leur emplacement correct, supprimées et redirigées le cas échéant. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent et en recommençant le crawl.",""
"Pagination: L'URL de pagination ne figure pas dans la balise d'ancrage","Problème","Élevée","1","1,960","Les URL contenues dans les deux attributs rel=""next"" et rel=""prev"" de la page, ou dans l'un d'entre eux, ne sont pas trouvées en tant que lien hypertexte dans un élément d'ancrage HTML sur la page elle-même. Les pages paginées doivent être liées à l'aide de liens normaux afin de permettre aux utilisateurs de cliquer et de naviguer vers la page suivante de la série. Ils permettent également à Google de passer d'une page à l'autre et au PageRank de circuler entre les pages de la série.","Assurez-vous que les URL paginées sont liées à l'intérieur de balises <a>. Cela leur permettra d'être crawlées et indexées, et de transmettre le PageRank à toutes les URL auxquelles elles sont liées.",""
"Meta description: Plus de 985 pixels","Opportunité","Faible","7","13,730","Pages dont la méta-description dépasse la limite de longueur en pixels estimée par Google pour les extraits. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des méta-descriptions concises afin que des mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Liens: Pages avec beaucoup de liens sortants externes","Avertissement","Faible","51","100,000","Pages qui comportent un nombre élevé de liens sortants externes suivis, selon les préférences « Nombre élevé de liens sortants externes » dans Configuration > Spider > Préférences. Les liens sortants externes sont des liens hypertextes vers un autre sous-domaine ou domaine (en fonction de votre configuration). Il peut s'agir d'un lien tout à fait valide, comme un lien vers une autre partie du même domaine racine ou un lien vers d'autres sites Web utiles. Les liens sortants externes suivis sont visibles dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien » et la colonne « Suivre » sur « Vrai ».","Examinez les liens sortants externes suivis pour vous assurer qu'ils mènent à des sites Web crédibles, fiables et pertinents, utiles pour vos utilisateurs.",""
"Sécurité: Mauvais type de contenu","Avertissement","Faible","16","3,640","Cela indique toutes les URL dont le type de contenu réel ne correspond pas au type de contenu défini dans l'en-tête. Cela identifie également tous les types MIME non valides utilisés. Lorsque l'en-tête de réponse X-Content-Type-Options: nosniff est défini par le serveur, cela est particulièrement important, car les navigateurs s'appuient sur l'en-tête de type de contenu pour traiter correctement la page. Cela peut entraîner le téléchargement de pages Web HTML au lieu de leur rendu lorsqu'elles sont fournies avec un type MIME autre que text/html par exemple.","Analysez les URL identifiées avec un mauvais type de contenu, et définissez un type MIME précis dans l'en-tête content-type.",""
"Title des pages: Plus de 561 pixels","Opportunité","Moyenne","5","9,800","Pages dont le titre dépasse la limite de longueur en pixels estimée par Google pour les titres dans les résultats de recherche. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"URL: Caractères non ASCII","Avertissement","Faible","5","1,140","URL avec des caractères hors du jeu de caractères ASCII. Les normes stipulent que les URL ne peuvent être envoyées qu'en utilisant le jeu de caractères ASCII et certains utilisateurs peuvent avoir des difficultés avec les subtilités des caractères en dehors de cette plage.","Les URL doivent être converties dans un format ASCII valide, en codant les liens vers l'URL avec des caractères sûrs (composés de % suivi de deux chiffres hexadécimaux). Aujourd'hui, les navigateurs et les moteurs de recherche sont largement capables de transformer les URL avec précision.",""
"Meta description: Manquant","Opportunité","Faible","21","41,180","Pages dont la méta-description est manquante, dont le contenu est vide ou qui comporte un espace blanc. Cela constitue une occasion manquée de communiquer les avantages de votre produit ou de votre service, et d'influencer les taux de clics pour les URL importantes.","Il est important de rédiger des métadescriptions uniques et descriptives sur les pages clés afin de communiquer l'objectif de la page aux utilisateurs et de les inciter à cliquer sur votre résultat plutôt que sur celui de la concurrence. Cela peut également signifier que Google utilise cette description pour les extraits dans les résultats de recherche pour certaines requêtes, plutôt que de créer la sienne sur la base du contenu de la page.",""
"Meta description: Plus de 155 caractères","Opportunité","Faible","8","15,690","Pages dont les méta-descriptions dépassent la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google.","Rédigez des méta-descriptions concises afin que les mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Codes de réponse: Internes, bloquées par Robots.txt","Avertissement","Élevée","7","1,400","URL internes bloquées par le fichier robots.txt du site. Ces URL ne pourront donc pas être crawlées, ce qui est un problème critique si vous voulez que le contenu de la page soit crawlé et indexé par les moteurs de recherche. Pour consulter les URL qui renvoient à des URL bloquées par le fichier robots.txt, accédez à l'onglet Liens entrants en bas et effectuez une exportation groupée via Exportation en bloc > Codes de réponse > Interne > Liens entrants bloqués par Robots.txt.","Vérifiez les URL pour vous assurer qu'elles doivent être refusées. Si elles sont refusées à tort, le fichier robots.txt du site doit être mis à jour pour permettre qu'elles soient crawlées. Vérifiez si vous devez créer des liens internes vers ces URL et supprimez-les le cas échéant.",""
"Images: Environ 100 Ko","Opportunité","Moyenne","179","66,790","Images volumineuses dépassant un seuil de taille. La vitesse des pages est extrêmement importante pour les utilisateurs et pour le référencement. Souvent, les ressources volumineuses telles que les images sont l'un des problèmes les plus courants qui ralentissent les pages Web. Ce filtre sert simplement de règle générale pour aider à identifier les images dont la taille de fichier est relativement importante et qui peuvent prendre plus de temps à charger. Ces images doivent être optimisées, tout comme les opportunités identifiées dans l'onglet PageSpeed qui utilise l'API PSI et Lighthouse pour évaluer la vitesse. Cela peut aider à identifier les images dont la taille n'a pas été optimisée, qui se chargent hors de l'écran, qui ne sont pas optimisées, etc.","Les images non compressées alourdissent les pages d'octets inutiles. Veillez donc à ce que les images soient optimisées par la compression, qu'elles soient correctement mises à l'échelle et qu'elles utilisent le meilleur format d'image possible pour réduire la taille du fichier.",""
"H2: Doublon","Opportunité","Faible","6","11,760","Pages qui présentent des doublons de <h2>. Il est important de disposer de pages distinctes, uniques et utiles. Si chaque page a le même <h2>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h2> comme nécessaire, afin que les pages importantes contiennent un <h2> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Versions canoniques: Canonisé","Avertissement","Élevée","10","19,610","Pages qui ont une version canonique avec une URL différente. L'URL est « canonisée » vers un autre emplacement. Cela signifie qu'il est demandé aux moteurs de recherche de ne pas indexer la page, et que les propriétés d'indexation et de liaison doivent être consolidées vers l'URL de la version canonique.","Ces URL doivent être examinées attentivement pour s'assurer que les signaux d'indexation et de liaison sont consolidés vers la bonne URL. Dans un monde idéal, un site Web n'aurait pas besoin de canoniser des URL, car seules des versions canoniques seraient liées en interne sur un site Web, mais elles sont souvent nécessaires en raison de diverses circonstances indépendantes de notre volonté, et pour éviter les doublons de contenu. Mettez à jour les liens internes vers les versions canoniques des URL lorsque cela est possible.",""
