"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Images: Environ 100 Ko","Opportunité","Moyenne","7","17,500","Images volumineuses dépassant un seuil de taille. La vitesse des pages est extrêmement importante pour les utilisateurs et pour le référencement. Souvent, les ressources volumineuses telles que les images sont l'un des problèmes les plus courants qui ralentissent les pages Web. Ce filtre sert simplement de règle générale pour aider à identifier les images dont la taille de fichier est relativement importante et qui peuvent prendre plus de temps à charger. Ces images doivent être optimisées, tout comme les opportunités identifiées dans l'onglet PageSpeed qui utilise l'API PSI et Lighthouse pour évaluer la vitesse. Cela peut aider à identifier les images dont la taille n'a pas été optimisée, qui se chargent hors de l'écran, qui ne sont pas optimisées, etc.","Les images non compressées alourdissent les pages d'octets inutiles. Veillez donc à ce que les images soient optimisées par la compression, qu'elles soient correctement mises à l'échelle et qu'elles utilisent le meilleur format d'image possible pour réduire la taille du fichier.",""
"Meta description: Doublon","Opportunité","Faible","2","0,520","Pages comportant des doublons de méta-descriptions. Il est très important d'avoir des méta-descriptions distinctes et uniques qui communiquent les avantages et l'objectif de chaque page. Si elles sont en double ou non pertinentes, elles seront ignorées par les moteurs de recherche dans leurs extraits.","Mettez à jour les doublons de méta-description si nécessaire, afin que les pages importantes contiennent un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Sécurité: En-tête X-Content-Type-Options manquant","Avertissement","Faible","423","93,580","URL qui n'ont pas l'en-tête de réponse « X-Content-Type-Options » avec une valeur « nosniff ». En l'absence d'un type MIME, les navigateurs peuvent « renifler » pour deviner le type de contenu et l'interpréter correctement pour les utilisateurs. Cependant, cela peut être exploité par des attaquants qui peuvent essayer de charger du code malveillant, tel que JavaScript, par une image qu'ils ont compromise.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Content-Type-Options doit être fourni et avec la valeur « nosniff » définie. Cela indique aux navigateurs de se fier uniquement à l'en-tête Content-Type et de bloquer tout ce qui ne correspond pas exactement. Cela signifie également que le type de contenu définii doit être précis.",""
"Meta description: Plus de 985 pixels","Opportunité","Faible","116","30,210","Pages dont la méta-description dépasse la limite de longueur en pixels estimée par Google pour les extraits. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des méta-descriptions concises afin que des mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"URL: Chemin répétitif","Avertissement","Faible","1","0,220","URL qui comportent des répétitions de chemins ou de sous-dossiers dans la chaîne (exemple.com/page1/page/page1/page2). Dans certains cas, cela peut être légitime et logique, mais cela indique aussi souvent une mauvaise structure d'URL et des améliorations possibles. Cela peut également aider à identifier les problèmes de liens relatifs incorrects, provoquant des URL infinies.","Bien qu'elles ne constituent pas toujours un problème, les répétitions de chemins ne sont pas particulièrement conviviales ou peuvent causer des problèmes d'indexation si elles sont dues à un lien relatif incorrect. Idéalement, toute URL devrait être aussi concise que possible. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"Meta description: Manquant","Opportunité","Faible","25","6,510","Pages dont la méta-description est manquante, dont le contenu est vide ou qui comporte un espace blanc. Cela constitue une occasion manquée de communiquer les avantages de votre produit ou de votre service, et d'influencer les taux de clics pour les URL importantes.","Il est important de rédiger des métadescriptions uniques et descriptives sur les pages clés afin de communiquer l'objectif de la page aux utilisateurs et de les inciter à cliquer sur votre résultat plutôt que sur celui de la concurrence. Cela peut également signifier que Google utilise cette description pour les extraits dans les résultats de recherche pour certaines requêtes, plutôt que de créer la sienne sur la base du contenu de la page.",""
"Codes de réponse: Internes, redirection (3xx)","Avertissement","Faible","5","1,000","URL internes qui redirigent vers une autre URL. Il s'agit notamment des redirections côté serveur, telles que les redirections 301 ou 302 (et d'autres). Affichez les URL liées à des redirections en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Redirection (3xx).","Dans l'idéal, tous les liens internes devraient pointer vers des URL à résolution canonique et éviter les liens vers des URL qui redirigent. Cela réduit la latence des redirections pour les utilisateurs et améliore l'efficacité des moteurs de recherche.",""
"Meta description: Moins de 400 pixels","Opportunité","Faible","1","0,260","Pages dont la méta-description est beaucoup plus courte que la limite de longueur en pixels estimée par Google. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour communiquer des avantages, des arguments clés ou des appels à l'action.","Envisagez de mettre à jour la méta-description afin de profiter de l'espace restant pour inclure des avantages, des arguments clés ou des appels à l'action supplémentaires pour améliorer les taux de clics (CTR).",""
"Title des pages: Doublon","Opportunité","Moyenne","2","0,520","Pages dont les titres sont dupliqués. Il est très important de disposer de titres de page distincts et uniques pour chaque page. Si toutes les pages ont le même titre, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de titre de page si nécessaire, afin que chaque page contienne un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Directives: Noindex","Avertissement","Élevée","3","0,710","URL contenant une directive « noindex » dans une métabalise robots ou une balise X-Robots-Tag dans l'en-tête HTTP. Cela indique aux moteurs de recherche de ne pas indexer la page. La page sera toujours crawlée (pour voir la directive), mais elle sera ensuite supprimée de l'index.","Les URL comportant une directive « noindex » doivent être examinées attentivement pour s'assurer qu'elles sont correctes et ne doivent pas être indexées. Si ces pages doivent être indexées, la directive « noindex » doit être supprimée.",""
