"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/","Home - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/gestion-des-cookies/","Gestion des cookies - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/relation-clients/","Le digital au service de votre relation client - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/retention-et-paiement/","Simplifiez le recouvrement bancaire - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/mentions-legales/","Mentions légales - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/politique-de-confidentialite/","Politique de confidentialité - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://oppy.ai/mentions-legales/","Mentions légales - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/signature-vocale/","Signature vocale : contractez par téléphone - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/blog/","Toutes les actualités de marketing relationnel - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/touch-and-pay/","Touch & Pay : Hub & rétention de paiement - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/acquisition/","Obtenez des leads qualifiés - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/module-rendez-vous/","Laissez vos clients prendre rendez-vous- Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-cas-usage/","RCS : 9 cas d'usage du RCS marketing - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/videobot/","Vidéobot : Interagissez avec vos clients - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/qui-sommes-nous/","Une équipe dédiée - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-acquisition/","Acquisition : obtenez de nouveaux clients grâce au RCS - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-message/","Le RCS, conversations enrichies avec vos clients - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/contactez-nous/","Contactez nous dès maintenant - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/notre-plateforme/","La plateforme au service de vos interactions clients - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/allmysms/","Assurez vous de la joignabilité de vos clients - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/sms-email/","SMS & Email : marketing direct - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/marketing-conversationnel/","Le marketing conversationnel : boostez vos ventes - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/agent-ia-vocal/","Automatisez vos appels grâce à un agent IA vocal - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/agent-ia-vocal-taux-contact/","Agent IA Vocal : améliorez vos taux de contact - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rcs-vs-sms/","RCS vs SMS : lequel choisir pour engager vos clients ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rcs-essai-gratuit/","RCS Essai Gratuit - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-demo/","RCS vs SMS | Comparatif et simulateur interactif - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/category/categorie-acquisition/","Acquisition Archives - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/leviers-outbound-marketing/","Les leviers d'outbound marketing pour accélérer sa croissance - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-vs-whatsapp/","Messagerie d'entreprise : RCS vs. WhatsApp, que choisir ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/parcours-client-digital/","Parcours client digital : comment fluidifier chaque point de contact ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/cout-agent-ia-vocal/","Agent IA vocal : quel est son coût réel ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/category/telemarketing/","Télémarketing Archives - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/blog/page/2/","Toutes les actualités de marketing relationnel - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/service-client-proactif/","Service client proactif : comment anticiper plutôt que réagir ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rcs-e-commerce/","RCS & e-commerce : comment augmenter vos ventes ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/category/categorie-agent-ia-vocal/","Agent IA vocal Archives - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/author/a-abdelrahmanoppycx-com/","Ali Abdelrahman, Author at Oppycx","0","","","","","","","Non indexable","noindex"
"https://www.oppy.ai/joignabilite/","Joignabilité : comment contacter vos prospects au bon moment ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/category/concours/","Concours Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/satisfaction-client/","Satisfaction client : comment remplir les attentes de vos clients ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/kpi-service-client/","Mesurer votre service client : les KPIs à suivre - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/outils-fidelisation-client/","Fidélisation client : quels outils IA pour l'optimiser ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/blog/page/3/","Toutes les actualités de marketing relationnel - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/dites-oui-et-cest-signe-apres-la-signature-electronique-la-signature-vocale-disrupte-lexperience-client/","Dites oui et c’est signé ! Après la signature électronique, la signature vocale disrupte l’expérience client - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/author/opportunity/","Opportunity, Author at Oppycx","0","","","","","","","Non indexable","noindex"
"https://www.oppy.ai/drive-to-store/","Drive-to-store : les meilleures stratégies digitales - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/chatbot-support-client/","Support client 24/7 : profitez des chatbots intelligents - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/voice-commerce/","Voice commerce : l'agent IA vocal au service de vos ventes - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/category/categorie-marketing-relationnel/categorie-rcs/","RCS Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/category/categorie-joignabilite/","Joignabilité Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rg/","JEU CONCOURS ROLAND-GARROS - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/exemple-message-marketing/","Exemple message marketing : comment améliorer vos taux d’ouverture ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/category/fidelisation-client/","Fidélisation client Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/blog/page/4/","Toutes les actualités de marketing relationnel - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/category/categorie-experience-client/","Expérience client Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/category/chatbot/","Chatbot Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/ia-conversationnelle-retail/","IA conversationnelle retail : comment booster votre drive-to-store ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rendez-vous-ia/","Comment automatiser la gestion de rendez-vous avec l'IA ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/author/anaelle-boulard2gmail-com/","Anaëlle Boulard, Author at Oppycx","0","","","","","","","Non indexable","noindex"
"https://www.oppy.ai/category/categorie-marketing-relationnel/","Marketing relationnel Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/quality-monitoring-definition/","Qu'est-ce que le quality monitoring ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://oppy.ai/gestion-des-cookies/","Gestion des cookies - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://oppy.ai/","Home - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://oppy.ai/politique-de-confidentialite/","Politique de confidentialité - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/agent-vocal-ia/","Agent Vocal IA vs. Chatbot : lequel choisir ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/relation-client-omnicanale/","Relation client omnicanale : communiquez sur tous vos canaux - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rcs-marketing/","RCS marketing : comment réussir vos campagnes ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/ia-relation-client/","Automatiser sa relation client avec l'IA - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/e-commerce-marketing-conversationnel/","Boostez vos ventes avec le marketing relationnel - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/ia-conversationnelle/","Comment l’IA conversationnelle transforme la relation client ? - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/automatiser-relation-client/","IA & Relation client : automatiser sans déshumaniser - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/prospection-telephonique/","Prospection téléphonique : optimiser votre taux de contact avec l'IA - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/communication-commerciale/","SMS, RCS & WhatsApp : quel canal de communication commerciale choisir ? - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/anticiper-les-besoins-des-clients/","Anticiper les besoins de vos clients grâce à l’IA - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/experience-client-e-commerce/","Expérience client e-commerce : les outils indispensables - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/chatbot-e-commerce/","Chatbot & E-commerce : améliorez l’expérience de vos clients - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/conseillers-agent-ia-vocal/","Accompagnez vos conseillers grâce à l'agent IA vocal - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/generer-leads-whatsapp/","Utilisez Whatsapp comme outil de génération de leads - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/rcs-messaging-acquisition-client/","Le RCS Messaging, nouveau canal d'acquisition client - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://oppy.ai/category/categorie-acquisition/","Acquisition Archives - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/agents-ia-vocaux/","Agents IA vocaux : générez vos propres leads - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/soldes-ete-augmenter-ventes/","Soldes d'été : les leviers pour augmenter vos ventes - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/hot-leads-management/","Hot leads management : ne manquez aucune conversion - Oppycx","0","","","","","","","Indexable",""
"https://www.oppy.ai/whatsapp-marketing/","WhatsApp Marketing : Chatbot, astuces et techniques qui rapportent - Oppycx","0","","","","","","","Non indexable","Canonisé"
"https://www.oppy.ai/recouvrement-bancaire/","Améliorez votre recouvrement bancaire avec le RCS et l’Agent IA Vocal - Oppycx","0","","","","","","","Indexable",""
