"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/","0","","0","0","Non indexable","Canonisé"
"https://www.oppy.ai/gestion-des-cookies/","0","","0","0","Non indexable","Canonisé"
"https://www.oppy.ai/relation-clients/","1","Améliorez votre expérience client grâce à OppyAI : facilitez vos interactions, automatisez vos campagnes et suivez vos performances.","132","835","Non indexable","Canonisé"
"https://www.oppy.ai/retention-et-paiement/","1","Optimisez votre recouvrement grâce à l’IA : agents conversationnels intelligents, support en direct et outils adaptés pour une satisfaction client maximale.","156","958","Non indexable","Canonisé"
"https://www.oppy.ai/mentions-legales/","0","","0","0","Non indexable","Canonisé"
"https://www.oppy.ai/politique-de-confidentialite/","0","","0","0","Non indexable","Canonisé"
"https://oppy.ai/mentions-legales/","0","","0","0","Indexable",""
"https://www.oppy.ai/signature-vocale/","1","Utilisez notre solution de contractualisation vocale à valeur probante pour transformer chaque échanges avec vos clients en opportunité business.","145","911","Non indexable","Canonisé"
"https://www.oppy.ai/blog/","1","Découvrez le blog d'Opportunity : astuces, tendances et conseils sur tous les leviers de la gestion de la relation client.","122","731","Non indexable","Canonisé"
"https://www.oppy.ai/touch-and-pay/","1","Touch & Pay c’est LA solution d’automatisation de la rétention et du paiement pour accélérer vos encaissements et simplifier le suivi de vos créances.","150","936","Non indexable","Canonisé"
"https://www.oppy.ai/acquisition/","1","Boostez vos opérations commerciales grâce aux outils d'OppyAI : ciblez, contactez, convertissez et échangez avec vos prospects depuis une seule plateforme.","155","990","Non indexable","Canonisé"
"https://www.oppy.ai/module-rendez-vous/","1","Notre module de prise de rendez-vous permet à vos clients de choisir la date et l’heure à laquelle ils souhaitent converser avec vous en toute autonomie.","153","951","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-cas-usage/","1","Avec le RCS, il est possible d’envoyer par sms des messages contenant des vidéos, des boutons de réponse, des images haute résolution pour booster l’engagement et l'expérience client","182","1162","Indexable",""
"https://www.oppy.ai/videobot/","1","Créez des vidéos interactives avec l'Agent IA Vidéo d'OppyAI pour satisfaire vos clients en simplifiant les situations complexes.","129","794","Non indexable","Canonisé"
"https://www.oppy.ai/qui-sommes-nous/","1","OppyAI ce n’est pas qu’une plateforme au service de vos interactions clients, c’est aussi une équipe de 28 personnes impliquées et disponibles.","143","896","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-acquisition/","1","Mieux que le SMS : le RCS permet d’acquérir des clients plus rapidement grâce à une expérience interactive et engageante.","121","768","Non indexable","Canonisé"
