"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/","1","Home - Oppycx","13","135","Non indexable","Canonisé"
"https://www.oppy.ai/gestion-des-cookies/","1","Gestion des cookies - Oppycx","28","260","Non indexable","Canonisé"
"https://www.oppy.ai/relation-clients/","1","Le digital au service de votre relation client - Oppycx","55","456","Non indexable","Canonisé"
"https://www.oppy.ai/retention-et-paiement/","1","Simplifiez le recouvrement bancaire - Oppycx","44","397","Non indexable","Canonisé"
"https://www.oppy.ai/mentions-legales/","1","Mentions légales - Oppycx","25","232","Non indexable","Canonisé"
"https://www.oppy.ai/politique-de-confidentialite/","1","Politique de confidentialité - Oppycx","37","316","Non indexable","Canonisé"
"https://oppy.ai/mentions-legales/","1","Mentions légales - Oppycx","25","232","Indexable",""
"https://www.oppy.ai/signature-vocale/","1","Signature vocale : contractez par téléphone - Oppycx","52","463","Non indexable","Canonisé"
"https://www.oppy.ai/blog/","1","Toutes les actualités de marketing relationnel - Oppycx","55","483","Non indexable","Canonisé"
"https://www.oppy.ai/touch-and-pay/","1","Touch & Pay : Hub & rétention de paiement - Oppycx","50","459","Non indexable","Canonisé"
"https://www.oppy.ai/acquisition/","1","Obtenez des leads qualifiés - Oppycx","36","324","Non indexable","Canonisé"
"https://www.oppy.ai/module-rendez-vous/","1","Laissez vos clients prendre rendez-vous- Oppycx","47","430","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-cas-usage/","1","RCS : 9 cas d'usage du RCS marketing - Oppycx","45","418","Indexable",""
"https://www.oppy.ai/videobot/","1","Vidéobot : Interagissez avec vos clients - Oppycx","49","430","Non indexable","Canonisé"
"https://www.oppy.ai/qui-sommes-nous/","1","Une équipe dédiée - Oppycx","26","243","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-acquisition/","1","Acquisition : obtenez de nouveaux clients grâce au RCS - Oppycx","63","571","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-message/","1","Le RCS, conversations enrichies avec vos clients - Oppycx","57","510","Non indexable","Canonisé"
"https://www.oppy.ai/contactez-nous/","1","Contactez nous dès maintenant - Oppycx","38","363","Non indexable","Canonisé"
"https://www.oppy.ai/notre-plateforme/","1","La plateforme au service de vos interactions clients - Oppycx","61","535","Indexable",""
