"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Versions canoniques: Version canonique non indexable","Problème","Élevée","2","3,080","Pages dont l'URL canonique est non indexable. Il s'agit notamment des versions canoniques qui sont bloquées par robots.txt, pas de réponse, redirection (3XX), erreur de client (4XX), erreur du serveur (5XX), sont « noindex » ou « canonisées » elles-mêmes. Cela signifie que les moteurs de recherche reçoivent l'ordre de consolider les signaux d'indexation et de liaison vers une page non indexable, ce qui les conduit souvent à ignorer la version canonique, mais peut également conduire à une imprévisibilité dans l'indexation et le classement. Exportez les pages, leurs versions canoniques et leurs codes de statut via Rapports > Versions canoniques > Versions canoniques non indexables.","Veillez à ce que les URL canoniques mènent à des pages indexables précises afin d'éviter qu'elles soient ignorées par les moteurs de recherche, et que l'indexation ou le classement soient imprévisibles.",""
"H1: Non séquentiel","Avertissement","Faible","32","49,230","Pages dont l'élément <h1> n'est pas le premier en-tête de la page. Les éléments d'en-tête doivent être placés dans un ordre logique séquentiel par ordre décroissant. L'objectif des éléments d'en-tête est d'indiquer la structure de la page. Ils doivent être placés dans un ordre logique, de <h1> à <h6>, afin de faciliter la navigation et d'aider les utilisateurs qui dépendent de technologies d'assistance.","Assurez-vous que l'élément <h1> correspond au premier en-tête de la page. Les en-têtes doivent être placés dans un ordre séquentiel logique, de <h1> à <h6>. Examinez les niveaux des en-têtes de la page et vérifiez qu'ils sont placés par ordre décroissant. Par exemple, l'en-tête de premier niveau doit être un <h1>, et cet en-tête doit être suivi par un <h2>.",""
"H1: Manquant","Problème","Moyenne","28","43,080","Pages dont le <h1> est manquant, le contenu est vide ou qui comportent un espace blanc. Les <h1> doivent décrire le titre principal et l'objectif de la page, et sont considérés comme l'un des signaux de classement les plus forts sur la page.","Veillez à ce que les pages importantes comportent des sous-titres concis, descriptifs et uniques afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"Liens: Liens sortants Nofollow internes","Avertissement","Faible","65","100,000","Pages qui utilisent rel=""nofollow"" sur les liens sortants internes. Les liens avec des attributs de lien nofollow ne seront généralement pas suivis par les moteurs de recherche. N'oubliez pas que les pages liées peuvent être trouvées par d'autres moyens, comme d'autres liens suivis, des sitemaps XML, etc. Les liens sortants nofollow sont visibles dans l'onglet « Liens sortants » avec le filtre « Tous les types de liens » défini sur « Hyperlien », où la colonne « Suivre » est « Faux ». Exportez en bloc via Exportation en bloc > Liens > Liens sortants Nofollow internes.","Vérifiez l'utilisation de rel=""nofollow"" sur les liens internes. Ceux-ci peuvent être valides pour des URL qui, idéalement, ne seraient pas crawlées, ou ils peuvent l'être par erreur. Supprimez l'attribut de lien nofollow pour les URL importantes qui doivent être crawlées, être indexées et recevoir un PageRank.",""
"Sécurité: En-tête HSTS manquant","Avertissement","Faible","461","99,350","URL qui n'ont pas l'en-tête de réponse HSTS. L'en-tête de réponse HTTP Strict-Transport-Security (HSTS) indique aux navigateurs que l'accès au site doit se faire uniquement par HTTPS, plutôt que par HTTP. Si un site Web accepte une connexion HTTP, avant d'être redirigé vers HTTPS, les visiteurs continueront initialement à communiquer via HTTP. L'en-tête HSTS indique au navigateur de ne jamais charger en HTTP et de convertir automatiquement toutes les requêtes en HTTPS.","L'en-tête HSTS doit être utilisé sur toutes les pages pour indiquer au navigateur qu'il doit toujours demander les pages via HTTPS, plutôt que via HTTP.",""
"Images: Texte Alt manquant","Problème","Faible","131","76,160","Images qui disposent d'un attribut alt, mais sans texte alt. Cliquez sur l'adresse de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour voir quelles pages contiennent l'image, mais pas le texte alt. Les images doivent être accompagnées d'un texte alternatif descriptif de leur fonction, ce qui permet aux aveugles et aux malvoyants, ainsi qu'aux moteurs de recherche, de comprendre l'image et sa pertinence pour la page Web.","Incluez un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"H1: Plus de 70 caractères","Opportunité","Faible","2","3,080","Pages dont les <h1> dépassent la longueur configurée. Il n'y a pas de limite de caractères stricte pour les <h1>, mais ils doivent être clairs et concis pour les utilisateurs et les sous-titres longs peuvent être moins utiles.","Rédigez des <h1> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Directives: Noindex","Avertissement","Élevée","5","1,080","URL contenant une directive « noindex » dans une métabalise robots ou une balise X-Robots-Tag dans l'en-tête HTTP. Cela indique aux moteurs de recherche de ne pas indexer la page. La page sera toujours crawlée (pour voir la directive), mais elle sera ensuite supprimée de l'index.","Les URL comportant une directive « noindex » doivent être examinées attentivement pour s'assurer qu'elles sont correctes et ne doivent pas être indexées. Si ces pages doivent être indexées, la directive « noindex » doit être supprimée.",""
"Title des pages: Plus de 60 caractères","Opportunité","Moyenne","29","44,620","Pages dont le titre dépasse la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google et d'avoir moins de poids dans les résultats.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"Versions canoniques: Manquant","Avertissement","Moyenne","22","33,850","Les pages qui ne disposent d'aucune URL canonique présente, soit sous forme d'élément de lien, soit via l'en-tête HTTP. Si une page n'indique pas d'URL canonique, Google identifiera ce qu'il pense être la meilleure version ou URL. Cela peut entraîner une imprévisibilité du classement lorsque plusieurs versions sont découvertes, et c'est pourquoi toutes les URL devraient généralement indiquer une version canonique.","Indiquez une URL canonique pour chaque page afin d'éviter toute imprévisibilité potentielle du classement si plusieurs versions de la même page sont découvertes sur des URL différentes.",""
